18:10:47 - CPU: 11.9% | Memory: 39.2% (67.1 GB)
18:17:28 - CPU: 13.5% | Memory: 39.4% (67.4 GB)
18:17:29 - CPU: 13.6% | Memory: 39.4% (67.4 GB)
18:17:30 - CPU: 14.1% | Memory: 39.4% (67.4 GB)
18:17:31 - CPU: 13.3% | Memory: 39.4% (67.4 GB)
18:17:32 - CPU: 13.8% | Memory: 39.4% (67.4 GB)
18:17:33 - CPU: 14.2% | Memory: 39.4% (67.4 GB)
18:17:34 - CPU: 13.3% | Memory: 39.4% (67.4 GB)
18:17:35 - CPU: 13.5% | Memory: 39.4% (67.4 GB)
18:17:36 - CPU: 13.6% | Memory: 39.4% (67.4 GB)
18:17:37 - CPU: 13.3% | Memory: 39.4% (67.4 GB)
18:17:38 - CPU: 13.4% | Memory: 39.4% (67.4 GB)
18:17:39 - CPU: 13.3% | Memory: 39.4% (67.4 GB)
18:17:40 - CPU: 13.5% | Memory: 39.4% (67.4 GB)
18:17:41 - CPU: 13.2% | Memory: 39.4% (67.4 GB)
18:17:42 - CPU: 13.5% | Memory: 39.4% (67.4 GB)
18:17:43 - CPU: 13.4% | Memory: 39.4% (67.4 GB)
18:17:44 - CPU: 13.4% | Memory: 39.4% (67.4 GB)
18:17:45 - CPU: 14.3% | Memory: 39.3% (67.3 GB)
18:17:46 - CPU: 14.1% | Memory: 39.3% (67.2 GB)
18:17:47 - CPU: 13.2% | Memory: 39.3% (67.2 GB)
18:17:48 - CPU: 13.4% | Memory: 39.3% (67.2 GB)
18:17:49 - CPU: 13.6% | Memory: 39.3% (67.2 GB)
18:17:50 - CPU: 13.5% | Memory: 39.3% (67.2 GB)
18:17:51 - CPU: 13.6% | Memory: 39.3% (67.2 GB)
18:17:52 - CPU: 13.6% | Memory: 39.3% (67.2 GB)
18:17:53 - CPU: 13.3% | Memory: 39.3% (67.2 GB)
18:17:54 - CPU: 13.3% | Memory: 39.3% (67.2 GB)
18:17:55 - CPU: 13.8% | Memory: 39.3% (67.2 GB)
18:17:56 - CPU: 13.2% | Memory: 39.3% (67.2 GB)
18:17:57 - CPU: 12.9% | Memory: 39.3% (67.2 GB)
18:17:58 - CPU: 13.5% | Memory: 39.3% (67.2 GB)
18:17:59 - CPU: 13.6% | Memory: 39.3% (67.2 GB)
18:18:00 - CPU: 13.7% | Memory: 39.3% (67.2 GB)
18:18:01 - CPU: 13.0% | Memory: 39.3% (67.2 GB)
18:18:02 - CPU: 13.1% | Memory: 39.3% (67.2 GB)
18:18:03 - CPU: 13.3% | Memory: 39.3% (67.3 GB)
18:18:04 - CPU: 13.2% | Memory: 39.3% (67.3 GB)
18:18:05 - CPU: 18.6% | Memory: 39.5% (67.6 GB)
18:18:06 - CPU: 14.1% | Memory: 39.5% (67.6 GB)
18:18:07 - CPU: 15.5% | Memory: 39.5% (67.7 GB)
18:18:08 - CPU: 14.9% | Memory: 39.5% (67.7 GB)
18:18:09 - CPU: 12.5% | Memory: 39.5% (67.7 GB)
18:18:10 - CPU: 13.6% | Memory: 39.5% (67.6 GB)
18:18:11 - CPU: 14.0% | Memory: 39.5% (67.7 GB)
18:18:12 - CPU: 18.0% | Memory: 39.6% (67.8 GB)
18:18:13 - CPU: 13.6% | Memory: 39.6% (67.8 GB)
18:18:14 - CPU: 16.0% | Memory: 39.6% (67.8 GB)
18:18:15 - CPU: 14.4% | Memory: 39.6% (67.8 GB)
18:18:16 - CPU: 13.5% | Memory: 39.6% (67.8 GB)
18:18:17 - CPU: 13.2% | Memory: 39.6% (67.8 GB)
18:18:18 - CPU: 13.8% | Memory: 39.6% (67.8 GB)
18:18:19 - CPU: 12.7% | Memory: 39.6% (67.7 GB)
18:18:20 - CPU: 12.0% | Memory: 39.5% (67.6 GB)
